开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,上课时间,掉课率
车辆学院,150241,90,新生导引课,1,聂冰冰,15,1,0,2-6(后八周),12.233071060764999
工业工程系,160062,90,工业生产管理概论,2,梁正霖,55,45,0,2-6(全周),13.799738870021859
统计系,160093,90,统计学引论：数据分析的科学与艺术,3,邓柯,190,88,0,2-6(全周),12.429817793537438
工业工程系,160102,90,思考的方法,2,李乐飞,150,0,0,1-3(全周),48.43193958429568
电机系,220122,0,虚拟仪器基础,2,郝丽,17,2,0,2-6(全周),16.682400671180616
电机系,220132,0,可编程控制器及变频器系统,2,于庆广,32,14,0,2-4(全周),11.693891984590136
电机系,220152,90,当代自然科学与哲学的对话,2,罗海云,20,2,0,1-6(全周),19.727625896120028
电子系,230202,90,光的技术：提升人类生活,2,张巍,30,2,0,4-6(全周),12.452351384092662
计算机系,240013,90,计算机辅助设计技术基础,3,孙延奎,40,18,0,4-6(全周),19.234377896449324
计算机系,240042,90,人工智能导论,2,李建民,60,0,0,3-6(全周),84.67844996631085
计算机系,240094,90,计算机组成与系统结构,4,陆游游,50,34,0,2-6(全周),15.494089878415032
计算机系,240193,90,程序设计艺术和实践,3,邬晓钧,30,30,0,(全周),19.262933867040825
计算机系,240311,90,计算机系统研讨,1,陈文光,30,4,0,1-6(前八周),15.674396908649047
计算机系,240362,91,计算思维,2,韩文弢,30,0,0,2-6(全周),40.34832754724035
计算机系,240362,92,计算思维,2,马昱春,30,0,0,3-3(全周),47.678806991804485
计算机系,240401,90,迈向通用的人工智能,1,刘知远,800,612,0,(全周),15.631596360054175
自动化系,250082,90,漫话滤波,2,周彤,16,0,0,3-6(全周),40.39834123571167
自动化系,250131,90,企业信息化概论,1,范玉顺,16,2,0,1-3(前八周),12.718704402306217
自动化系,250141,90,视觉信息获取与显示,1,戴琼海,16,0,0,1-1(前八周),48.857343395802744
自动化系,250181,90,智能机器人初探,1,陈章,16,0,0,1-3(前八周),42.410160374870635
自动化系,250212,90,走近人工智能,2,张长水,35,0,0,3-6(全周),94.18197901824634
集成电路学院,260061,90,量子信息处理的超导实现,1,陈炜,15,8,0,3-6(前八周),10.445038446999387
航院,310011,90,航天中的奇思妙想,1,李俊峰,20,7,0,2-6(前八周),11.784499530862126
航院,310212,0,航天概论,2,王兆魁,50,29,0,1-6(全周),16.360069912979647
航院,310271,0,Matlab与科学计算,1,王沫然,35,0,0,3-1(前八周),31.970344404641903
航院,310332,90,力学中的创意设计,2,高云峰,80,6,0,2-6(全周),10.938962452112012
航院,310372,90,科学的运动——从肌肉组织到细胞的力学,2,杨春,20,1,0,2-6(全周),11.244918062618057
航院,310382,90,飞行基础理论与实践,2,张超,20,0,0,2-6(全周),33.80630080818846
工物系,320052,90,三维可视化技术基础及应用,2,肖永顺,28,10,0,2-6(全周),13.05401297516963
工物系,320072,0,高能物理导论,2,王喆,30,4,0,1-4(全周),16.476659063215745
工物系,320102,90,核心理学,2,俞冀阳,32,0,0,2-6(全周),38.41618346814856
工物系,320211,90,核能物理与超算,1,王侃,20,12,0,2-6(前八周),11.57830293842827
工物系,320254,1,核仪器原理,4,李亮,80,0,0,"3-3(全周),1-2(全周)",38.34045600616582
工物系,320254,2,核仪器原理,4,邓智,80,20,0,"3-3(全周),1-2(全周)",18.55587691363059
工物系,320262,1,射线源导论,2,颜立新,40,1,0,2-4(全周),12.012017457136162
工物系,320262,2,射线源导论,2,李任恺,32,13,0,2-4(全周),19.58727171755421
化工系,340051,90,分子设计与化学工程,1,刘铮,15,2,0,1-6(前八周),19.231312452901967
化工系,340153,90,纳米能源,3,张强,15,9,0,2-6(全周),16.47836598304427
化工系,340163,90,能源材料,3,张强,15,6,0,3-6(全周),15.353971604744125
化工系,340282,0,人工智能与流程工业导论,2,王笑楠,50,0,0,4-6(全周),84.41559686448629
