开课院系,课程号,课序号,课程名,学分,主讲教师,本科生课容量,本科生课余量,研究生课容量,研究生课余量,上课时间,课程特色,年级,通识选秀课组
人文学院,691833,0,拉丁语基础（2）,3,蒋澈,40,19,5,3,2-6(全周),外文教材，中文为主进行授课(双语课); 文化素质课;,20232024,
人文学院,691872,90,故宫学,2,章宏伟,80,0,0,0,4-6(全周),文化素质课; 通识选修课;,,人文课组
人文学院,691903,90,古典社会学思想,3,李康,100,66,0,0,"3-4(全周),3-3(全周)",文化素质核心课; 文化素质课; 通识选修课;,,社科课组
人文学院,691913,90,《红楼梦》导读,3,曹立波,60,0,0,0,2-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,人文课组
人文学院,691932,90,书法与篆刻创作,2,刘克明,100,40,10,8,4-6(1-12周),文化素质课; 实践课; 通识选修课;,,人文课组
人文学院,692073,0,出土文献与楚史楚文化,3,魏栋,50,18,5,5,1-6(全周),文化素质课,2022,
人文学院,692091,90,人际沟通,1,廖彬超,20,0,0,0,3-1(前八周),文化素质核心课; 文化素质课; 通识选修课;,,人文课组
人文学院,692172,0,科学仪器史,2,王哲然,20,0,0,0,3-6(全周),外文教材，中文为主进行授课(双语课); 实践课; 通识选修课;,20232024,人文课组
人文学院,692212,0,达尔文革命,2,陆伊骊,30,29,0,0,"5-2(后八周),2-2(后八周)",全外文授课; 文化素质课; 认证外文课; 通识选修课;,,
人文学院,692333,90,中国女性日常生活专题,3,冯乃希,50,6,0,0,"3-4(全周),3-3(全周)",文化素质课; 通识选修课;,,人文课组
人文学院,692342,0,科学博物馆学,2,刘年凯,30,3,0,0,3-4(全周),外文教材，中文为主进行授课(双语课); 文化素质课; 通识选修课;,20232024,人文课组
人文学院,692402,90,书法临摹与创作,2,戚学民,50,4,0,0,2-6(全周),文化素质课; 通识选修课;,,艺术课组
人文学院,692422,0,全球卫生史,2,沈宇斌,30,8,0,0,4-6(全周),通识选修课,2.0232E+11,
人文学院,692482,90,犹太文明：在传统与创新之间,2,宋立宏,50,6,0,0,4-2(全周),通识选修课,,人文课组
人文学院,692492,0,古代世界的科技与文明,2,鲁博林,50,29,0,0,2-6(全周),外文教材，中文为主进行授课(双语课); 通识选修课;,20232024,
人文学院,692502,0,中西科技交流史,2,孙承晟,50,47,0,0,2-4(全周),通识选修课,20232024,
社科学院,700052,0,大学生心理健康,2,钱静,50,0,0,0,1-3(全周),文化素质核心课; 文化素质课; 通识选修课;,2024,
社科学院,701332,90,性别与科技,2,洪伟,40,7,0,0,5-2(全周),文化素质课; 通识选修课;,,社科课组
社科学院,701413,90,欧洲联盟与中欧关系,3,史志钦,35,8,0,0,"3-4(全周),3-3(全周)",文化素质课; 通识选修课;,,社科课组
社科学院,701512,90,中国宏观经济分析,2,靳卫萍,30,0,0,0,3-4(全周),文化素质课; 通识选修课;,,社科课组
社科学院,701522,90,生活中的经济学,2,靳卫萍,30,0,0,0,3-3(全周),文化素质核心课; 文化素质课; 通识选修课;,,社科课组
社科学院,701702,90,当代世界政治重大议题研讨,2,刘瑜,20,0,0,0,1-2(全周),外文教材，中文为主进行授课(双语课); 文化素质核心课; 文化素质课; 通识选修课;,,社科课组
社科学院,701723,90,中美关系：问题与政策,3,达巍,50,35,0,0,1-2(全周),通识选修课,,
社科学院,701792,90,战争与经济发展,2,徐志浩,110,89,30,23,"4-1(后八周),4-2(后八周)",外文教材，中文为主进行授课(双语课); 通识选修课;,,社科课组
社科学院,701812,90,空间、技术与政治哲学,2,孙宇辰,40,0,0,0,4-6(全周),通识选修课,,社科课组
社科学院,701823,90,阅读亚当·斯密：道德、经济与政治,3,孙宇辰,20,0,0,0,1-6(全周),通识选修课,,社科课组
计算机系,740043,91,C++语言程序设计,3,郑莉,60,32,10,6,2-6(全周),,,
计算机系,740043,92,C++语言程序设计,3,郑莉,70,49,0,0,3-6(全周),,,
计算机系,740043,93,C++语言程序设计,3,李超,50,18,0,0,3-4(全周),,,
计算机系,740103,90,操作系统,3,谌卫军,70,57,0,0,1-6(全周),,,
计算机系,740113,90,VC++面向对象与可视化程序设计,3,黄维通,90,42,0,0,3-6(全周),,,
计算机系,740182,90,并行计算基础,2,薛巍,50,25,0,0,"3-6(前八周),1-6(前八周)",,,
计算机系,740262,90,工业数据挖掘与分析,2,徐华,35,22,40,26,1-4(全周),,,
计算机系,740282,91,计算机程序设计基础（Python）,2,乔林,130,28,0,0,5-2(全周),实践课,2024,
计算机系,740282,92,计算机程序设计基础（Python）,2,乔林,130,0,0,0,5-6(全周),实践课,,
图书馆,750011,91,图书馆概论,1,韩丽风,60,43,0,0,2-2(前八周),,,
艺教中心,780051,91,舞蹈欣赏与实践,1,邢高熙,40,0,0,0,2-4(全周),文化素质课; 通识选修课;,,艺术课组
艺教中心,780051,92,舞蹈欣赏与实践,1,邢高熙,40,0,0,0,2-6(全周),文化素质课; 通识选修课;,,艺术课组
艺教中心,780461,91,钢琴入门与音乐基础,1,黄垚,12,0,6,0,2-3(全周),文化素质课; 通识选修课;,,艺术课组
艺教中心,780461,92,钢琴入门与音乐基础,1,黄垚,12,0,6,0,2-5(全周),文化素质课; 通识选修课;,,艺术课组
艺教中心,780461,93,钢琴入门与音乐基础,1,黄垚,12,0,6,0,3-3(全周),文化素质课; 通识选修课;,,艺术课组
艺教中心,780461,94,钢琴入门与音乐基础,1,黄垚,12,0,6,0,3-5(全周),文化素质课; 通识选修课;,,艺术课组
艺教中心,780611,90,民族管弦乐合奏(2),1,吕建强,60,60,0,0,7-6(全周),文化素质核心课; 文化素质课; 通识选修课;,,
